Target,Thrust Speed Average,Total thrust force,Screw revolution,Cutter Torque,Screw Torque,Soil Pressure
1,53,21.458,8.6,5.084,0.881,233
1,52,21.3,8.6,5.077,0.854,232
1,52,21.065,8.6,5.105,0.869,231
1,51,20.928,8.6,5.077,0.906,230
1,51,20.636,8.6,5.128,0.91,230
1,50,20.634,8.3,5.124,0.894,229
1,51,21.069,8.3,5.145,0.914,228
1,39,20.22,6.7,5.066,0.97,228
1,53,21.83,8.3,5.025,0.974,229
1,52,21.859,8.3,5.057,0.977,229
1,53,21.886,8.7,5.091,0.944,229
1,52,21.483,9.1,5.096,0.917,229
1,51,20.607,9.3,5.095,0.931,228
1,51,19.855,9.2,5.086,0.902,228
1,50,19.556,8.6,5.075,0.886,226
1,50,19.767,8.4,5.057,0.883,225
1,50,19.961,8.4,5.094,0.876,224
1,39,19.418,6.3,5.057,0.914,223
1,53,21.689,8.3,5.007,0.948,224
1,52,21.792,8.4,5.12,0.925,224
1,54,21.624,9.2,5.141,0.918,224
1,54,20.896,9.3,5.139,0.948,224
1,54,20.523,9.3,5.148,0.928,224
1,53,20.161,9.1,5.137,0.915,223
1,52,20.248,8.9,5.157,0.902,223
1,52,20.08,8.9,5.154,0.883,223
1,53,19.96,8.9,5.146,0.863,221
1,39,19.78,5.5,5.087,0.971,222
1,52,21.713,8.1,5.044,0.954,223
1,54,21.603,8.6,5.056,0.953,223
1,53,20.962,9.1,5.114,0.955,223
1,54,20.631,9,5.089,0.955,223
1,53,20.231,9.1,5.075,0.891,222
1,52,19.916,9.1,5.106,0.871,222
1,52,19.552,9.1,5.112,0.843,222
1,52,19.378,9.2,5.097,0.837,220
1,51,19.068,8,5.083,0.859,219
1,41,18.977,6.8,5.123,0.933,219
1,47,21.245,7.9,5.134,0.979,220
1,55,20.812,9,5.164,0.955,220
1,54,20.563,9.1,5.17,0.936,220
1,54,20.215,9,5.181,0.89,221
1,54,20.031,9.1,5.175,0.895,220
1,53,19.75,9.1,5.183,0.873,220
1,52,19.416,9.1,5.197,0.894,220
1,52,19.345,8.6,5.204,0.928,219
1,51,19.566,8.2,5.128,0.946,220
